"index","State","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present"
0,"TX",1000,"10/21/09","Theft","Paper/Films","No"
1,"MO",1000,"10/28/09","Theft","Network Server","No"
2,"AK",501,"10/30/09","Theft","Other, Other Portable Electronic Device","No"
3,"DC",3800,"11/17/09","Loss","Laptop","No"
4,"CA",5166,"11/20/09","Theft","Desktop Computer","No"
5,"CA",5257,"11/20/09","Theft","Desktop Computer","No"
6,"CA",857,"11/20/09","Theft","Desktop Computer","No"
7,"CA",6145,"11/20/09","Theft","Desktop Computer","No"
8,"CA",952,"11/20/09","Theft","Desktop Computer","No"
9,"CA",5900,"11/23/09","Theft","Laptop","No"
10,"PA",943,"11/24/09","Theft","Laptop","No"
11,"TN",6400,"11/25/09","Theft","Laptop","Yes"
12,"VA",83000,"12/8/09","Other","Paper/Films","Yes"
13,"CA",596,"12/10/09","Theft","Other","No"
14,"NC",2000,"12/11/09","Theft","Desktop Computer, Electronic Medical Record, Network Server","Yes"
15,"MI",646,"12/15/09","Theft","Desktop Computer, Laptop","No"
16,"MI",10000,"12/15/09","Theft","Other Portable Electronic Device","No"
17,"CA",610,"12/15/09","Other","Email","No"
18,"MA",1860,"1/7/10","Theft","Electronic Medical Record, Other, Other Portable Electronic Device","Yes"
19,"DC",3400,"1/8/10","Theft","Paper/Films","Yes"
20,"MA",1076,"1/8/10","Theft","Other","No"
21,"MD",15000,"1/11/10","Theft","Paper/Films","Yes"
22,"CA",15500,"1/12/10","Theft","Other, Other Portable Electronic Device","No"
23,"ID",2562,"1/14/10","Theft","Other","Yes"
24,"MI",10000,"1/15/10","Theft","Other","No"
25,"TX",3800,"1/18/10","Loss","Other, Other Portable Electronic Device","No"
26,"MO",9309,"1/19/10","Theft","Desktop Computer","No"
27,"TX",900,"1/19/10","Theft","Laptop","No"
28,"IL",812,"1/22/10","Theft","Laptop","No"
29,"TX",689,"1/25/10","Theft","Other","No"
30,"CA",7300,"1/27/10","Theft","Laptop","No"
31,"IL",1300,"1/28/10","Theft","Other, Paper/Films","No"
32,"UT",5700,"2/5/10","Theft","Other","Yes"
33,"AZ",1100,"2/10/10","Theft","Laptop","No"
34,"RI",528,"2/16/10","Other","Paper/Films","Yes"
35,"PR",605,"2/17/10","Theft","Paper/Films","Yes"
36,"PR",1907,"2/17/10","Theft","Paper/Films","Yes"
37,"FL",8000,"2/18/10","Theft","Desktop Computer","No"
38,"TN",3900,"2/19/10","Theft","Paper/Films","No"
39,"CA",532,"2/21/10","Other","Desktop Computer","No"
40,"NM",1900,"2/23/10","Other","Desktop Computer","No"
41,"CA",3500,"2/23/10","Theft","Network Server","No"
42,"NY",500,"2/25/10","Theft","Paper/Films","No"
43,"FL",12580,"3/1/10","Theft","Laptop","No"
45,"WI",9500,"3/3/10","Theft","Laptop","No"
46,"NC",554,"3/3/10","Theft","Paper/Films","No"
47,"NY",625,"3/9/10","Theft","Laptop","No"
48,"TX",21000,"3/10/10","Theft","Other, Other Portable Electronic Device","No"
49,"FL",3800,"3/17/10","Other","Paper/Films","No"
50,"WA",5080,"3/18/10","Theft","Laptop","No"
51,"FL",2600,"3/23/10","Theft","Laptop","No"
52,"CT",957,"3/26/10","Hacking/IT Incident","Network Server","No"
53,"AL",2465,"3/27/10","Theft","Laptop","No"
55,"AZ",2773,"4/1/10","Theft","Other Portable Electronic Device","No"
56,"PA",8000,"4/2/10","Loss, Theft","Paper/Films","No"
57,"IL",6800,"4/5/10","Loss","Paper/Films","No"
58,"MI",83945,"4/5/10","Other","Other","No"
59,"TX",955,"4/9/10","Theft","Laptop","No"
60,"GA",660,"4/9/10","Other","Paper/Films","Yes"
61,"NY",344579,"4/14/10","Theft","Other","No"
62,"WI",600,"4/16/10","Other","Other","No"
63,"CT",54165,"4/19/10","Theft","Laptop","No"
64,"MA",3594,"4/20/10","Theft","Laptop","No"
65,"RI",12000,"4/21/10","Theft","Paper/Films","No"
66,"SC",2850,"4/22/10","Improper Disposal","Paper/Films","No"
67,"CA",22012,"4/23/10","Theft","Desktop Computer","No"
68,"CA",5450,"4/24/10","Theft","Laptop","No"
69,"KY",5148,"4/26/10","Theft","Other, Other Portable Electronic Device","No"
70,"MN",735,"4/27/10","Theft","Other, Paper/Films","No"
71,"VA",1874,"4/27/10","Theft","Other","Yes"
72,"TX",1430,"4/28/10","Improper Disposal, Loss","Paper/Films","No"
73,"VA",500,"4/29/10","Theft","Desktop Computer, Laptop","No"
74,"IL",180111,"4/29/10","Theft","Other, Other Portable Electronic Device","Yes"
75,"FL",568,"5/5/10","Theft","Paper/Films","No"
76,"CO",649,"5/5/10","Theft","Paper/Films","No"
77,"TX",4200,"5/11/10","Theft","Laptop","No"
78,"DC",2416,"5/13/10","Other, Theft","Email, Other Portable Electronic Device","No"
79,"CA",40000,"5/13/10","Theft","Network Server","No"
80,"TX",656,"5/14/10","Theft","Laptop","Yes"
81,"SC",653,"5/20/10","Theft","Laptop","No"
82,"NY",2628,"5/20/10","Other","Paper/Films","No"
83,"NE",800,"5/21/10","Theft","Laptop","Yes"
84,"NC",5220,"5/24/10","Loss","Other","No"
85,"TX",4083,"5/25/10","Improper Disposal","Paper/Films","No"
86,"IL",1000,"5/26/10","Theft","Laptop","No"
87,"KS",1105,"6/1/10","Theft","Laptop","No"
88,"KY",708,"6/1/10","Hacking/IT Incident","Network Server","No"
89,"OH",60998,"6/1/10","Theft","Laptop","No"
90,"FL",1220000,"6/3/10","Theft","Laptop","No"
91,"MI",2300,"6/4/10","Theft","Laptop","No"
92,"PA",130495,"6/4/10","Theft","Other","Yes"
93,"MN",16291,"6/4/10","Other","Paper/Films","No"
94,"TN",1745,"6/8/10","Loss","Laptop","No"
95,"MA",10515,"6/9/10","Theft","Laptop","Yes"
96,"NY",1020,"6/14/10","Theft","Desktop Computer, Email, Laptop, Network Server","No"
97,"OH",1001,"6/14/10","Other","Email","No"
98,"KY",2027,"6/18/10","Theft","Laptop","No"
99,"TX",600,"6/21/10","Theft","Network Server","No"
100,"GA",14000,"6/21/10","Loss","Other","Yes"
101,"NV",7526,"6/22/10","Theft","Network Server","No"
102,"PA",937,"6/24/10","Other","Email","Yes"
103,"AZ",5893,"6/28/10","Theft","Laptop","No"
104,"CA",1000,"6/29/10","Other","Paper/Films","No"
105,"TN",1537,"7/2/10","Theft","Desktop Computer, Paper/Films","No"
106,"CA",29000,"7/6/10","Loss, Other","Other, Other Portable Electronic Device","Yes"
107,"NY",2563,"7/7/10","Theft","Other Portable Electronic Device","No"
108,"NY",800,"7/7/10","Theft","Other, Other Portable Electronic Device","No"
109,"NM",3830,"7/8/10","Theft","Laptop","No"
110,"FL",2047,"7/8/10","Other","Paper/Films","No"
111,"CO",105470,"7/9/10","Theft","Desktop Computer","Yes"
112,"VA",669,"7/15/10","Theft","Other Portable Electronic Device","No"
113,"MN",1097,"7/17/10","Other","Paper/Films","Yes"
114,"PA",8e+05,"7/19/10","Loss","Electronic Medical Record, Other, Other Portable Electronic Device","Yes"
115,"NY",23753,"7/23/10","Theft","Desktop Computer","No"
116,"OH",1200,"7/23/10","Improper Disposal","Paper/Films","Yes"
117,"TX",27000,"7/23/10","Hacking/IT Incident","Network Server","No"
118,"DC",540,"7/23/10","Theft","Laptop","No"
119,"NY",16820,"7/23/10","Theft","Desktop Computer","No"
121,"TX",6873,"7/28/10","Theft","Desktop Computer","No"
122,"TX",1646,"7/30/10","Theft","Laptop","No"
124,"NY",2631,"7/30/10","Theft","Paper/Films","Yes"
125,"NC",1590,"7/30/10","Theft","Paper/Films","No"
126,"IN",31700,"7/30/10","Hacking/IT Incident","Network Server","No"
127,"TX",694,"7/30/10","Theft","Laptop","No"
128,"OH",1309,"8/3/10","Other","Laptop","No"
129,"PA",560,"8/3/10","Other","Other","No"
130,"KY",2089,"8/5/10","Theft","Laptop","No"
131,"GA",11440,"8/5/10","Other","Other, Other Portable Electronic Device","Yes"
132,"IL",657,"8/5/10","Loss, Theft","Paper/Films","No"
133,"TX",25000,"8/5/10","Theft","Network Server","No"
134,"OH",13867,"8/5/10","Theft","Laptop","No"
135,"MO",1907,"8/9/10","Improper Disposal","Paper/Films","No"
136,"PA",21000,"8/9/10","Theft","Laptop","No"
137,"ID",5500,"8/10/10","Loss","Other","Yes"
138,"WA",2698,"8/11/10","Theft","Desktop Computer","No"
139,"CA",10100,"8/11/10","Theft","Desktop Computer","No"
140,"TN",1711,"8/16/10","Loss","Other, Other Portable Electronic Device","No"
141,"CT",1000,"8/18/10","Theft","Laptop","No"
142,"OR",4328,"8/20/10","Theft","Desktop Computer, Laptop, Other, Other Portable Electronic Device","No"
143,"IL",7081,"8/20/10","Theft","Laptop","No"
144,"MA",24750,"8/25/10","Theft","Paper/Films","Yes"
145,"NM",1000,"8/25/10","Theft","Other, Other Portable Electronic Device","No"
146,"NY",956,"8/26/10","Theft","Other, Other Portable Electronic Device","Yes"
147,"NY",3630,"8/26/10","Theft","Other Portable Electronic Device","Yes"
148,"NY",1200,"8/27/10","Loss","Other, Other Portable Electronic Device","No"
149,"PA",22642,"9/7/10","Other","Network Server","Yes"
150,"NY",857,"9/7/10","Loss","Other Portable Electronic Device","No"
151,"VA",2739,"9/8/10","Theft","Laptop","No"
152,"RI",1361,"9/10/10","Theft","Paper/Films","No"
153,"NV",507,"9/10/10","Theft","Paper/Films","No"
154,"IA",19222,"9/11/10","Loss","Other Portable Electronic Device","No"
155,"IN",2000,"9/15/10","Theft","Desktop Computer, Laptop","No"
156,"CA",33000,"9/17/10","Theft","Paper/Films","No"
157,"KS",1200,"9/19/10","Theft","Laptop, Paper/Films","No"
158,"SC",1270,"9/20/10","Other","Paper/Films","Yes"
159,"NY",9000,"9/21/10","Theft","Desktop Computer","No"
160,"AK",2000,"9/22/10","Theft","Other, Other Portable Electronic Device","Yes"
161,"IN",1199,"9/23/10","Theft","Laptop","No"
162,"CA",1474,"9/23/10","Theft","Other, Other Portable Electronic Device","Yes"
163,"CA",1474,"9/23/10","Theft","Other, Other Portable Electronic Device","Yes"
164,"NY",6800,"9/24/10","Theft","Network Server","No"
165,"IL",967,"9/24/10","Improper Disposal","Paper/Films","No"
166,"OK",19200,"9/27/10","Hacking/IT Incident","Desktop Computer","No"
167,"CA",928,"9/29/10","Theft","Desktop Computer","No"
168,"MA",11000,"10/1/10","Improper Disposal","Paper/Films","Yes"
169,"TX",4700,"10/5/10","Theft","Laptop, Network Server","No"
170,"KY",2200,"10/5/10","Theft","Paper/Films","No"
171,"NY",578,"10/5/10","Theft","Laptop","No"
172,"MD",692,"10/6/10","Other","Other","No"
173,"TX",585,"10/8/10","Theft","Laptop","No"
174,"UT",1298,"10/13/10","Other","Desktop Computer, Paper/Films","Yes"
175,"WA",9493,"10/15/10","Hacking/IT Incident","Network Server","No"
176,"AR",1000,"10/18/10","Theft","Other, Other Portable Electronic Device","No"
177,"CO",2500,"10/26/10","Theft","Other","No"
178,"TN",1023209,"11/1/10","Theft","Other","No"
179,"CA",716,"11/2/10","Loss","Paper/Films","No"
181,"CT",2345,"11/7/10","Unauthorized Access/Disclosure","Network Server","No"
182,"MS",1104,"11/8/10","Theft","Desktop Computer","No"
183,"PR",115000,"11/9/10","Unauthorized Access/Disclosure","Other, Other Portable Electronic Device","Yes"
184,"CT",12000,"11/11/10","Theft","Laptop","No"
185,"NE",1550,"11/12/10","Theft","Desktop Computer","No"
186,"IN",845,"11/12/10","Unauthorized Access/Disclosure","Paper/Films","No"
187,"NY",535,"11/12/10","Theft","Laptop","No"
188,"MI",3700,"11/15/10","Theft","Laptop","No"
189,"MO",1400,"11/15/10","Theft","Laptop","No"
190,"FL",1500,"11/16/10","Theft","Paper/Films","No"
191,"NY",1744,"11/24/10","Theft","Network Server","Yes"
192,"CA",771,"11/25/10","Unauthorized Access/Disclosure","Paper/Films","No"
193,"OK",1950,"11/29/10","Improper Disposal, Loss, Theft","Paper/Films","No"
194,"NY",542,"11/30/10","Theft","Desktop Computer","No"
195,"PA",613,"11/30/10","Theft","Desktop Computer","No"
196,"TN",8200,"11/30/10","Improper Disposal","Paper/Films","No"
197,"MI",9475,"12/3/10","Unauthorized Access/Disclosure","Paper/Films","Yes"
198,"TX",800,"12/7/10","Theft","Desktop Computer","No"
199,"MD",1000,"12/13/10","Hacking/IT Incident","Desktop Computer, Network Server","No"
201,"PA",1085,"12/15/10","Unauthorized Access/Disclosure","Network Server","Yes"
202,"IL",556,"12/17/10","Theft","Desktop Computer","No"
203,"WI",3288,"12/20/10","Theft","Laptop","No"
204,"OH",1000,"12/21/10","Improper Disposal","Paper/Films","No"
205,"CA",1250,"12/22/10","Theft","Other, Other Portable Electronic Device","No"
206,"IN",757,"12/27/10","Theft","Laptop","Yes"
207,"IN",585,"12/27/10","Unauthorized Access/Disclosure","Other","Yes"
208,"PA",2928,"12/28/10","Theft","Email","No"
209,"MN",3159,"12/28/10","Theft","Laptop","No"
210,"MD",800,"12/29/10","Theft","Paper/Films","Yes"
211,"KY",24600,"12/29/10","Loss, Theft","Other, Other Portable Electronic Device","No"
212,"PA",808,"12/30/10","Loss","Other, Other Portable Electronic Device","No"
213,"AL",2000,"12/30/10","Theft","Other, Other Portable Electronic Device","No"
214,"FL",156000,"1/3/11","Theft","Network Server","No"
215,"OH",501,"1/4/11","Theft","Desktop Computer, Laptop","No"
216,"NH",231400,"1/10/11","Hacking/IT Incident","Network Server","No"
217,"FL",2200,"1/11/11","Theft","Laptop","No"
218,"IN",1848,"1/12/11","Hacking/IT Incident","Email, Network Server","No"
219,"VA",11982,"1/12/11","Theft","Laptop","No"
220,"WA",1250,"1/13/11","Theft","Desktop Computer","No"
221,"SC",5596,"1/14/11","Theft","Desktop Computer","No"
222,"MI",656,"1/18/11","Theft","Desktop Computer, Laptop","No"
223,"TX",16200,"1/18/11","Loss","Other, Other Portable Electronic Device","Yes"
224,"MO",4800,"1/18/11","Theft","Other","Yes"
225,"WA",12009,"1/21/11","Theft","Other, Other Portable Electronic Device","No"
226,"TX",4486,"1/24/11","Theft","Laptop","No"
227,"TX",8241,"1/25/11","Theft","Other, Other Portable Electronic Device","No"
228,"TN",500,"1/28/11","Theft","Desktop Computer","No"
229,"KY",18871,"2/7/11","Hacking/IT Incident","Network Server","Yes"
230,"CO",546,"2/7/11","Theft","Paper/Films","No"
231,"MT",37000,"2/8/11","Theft","Laptop","No"
232,"WA",3100,"2/9/11","Theft","Paper/Films","No"
233,"MO",800,"2/10/11","Hacking/IT Incident","Desktop Computer","No"
234,"NJ",1700000,"2/11/11","Theft","Electronic Medical Record, Other","Yes"
235,"CA",2250,"2/11/11","Unauthorized Access/Disclosure","Other","No"
236,"TX",9922,"2/13/11","Loss, Theft","Other, Other Portable Electronic Device","No"
237,"FL",2700,"2/15/11","Theft","Other, Other Portable Electronic Device","Yes"
238,"WV",3655,"2/16/11","Unauthorized Access/Disclosure","Network Server","Yes"
239,"AZ",2291,"2/21/11","Loss","Other, Other Portable Electronic Device","No"
241,"MI",2777,"2/23/11","Loss","Other, Other Portable Electronic Device","No"
242,"AZ",4500,"3/1/11","Unauthorized Access/Disclosure","Paper/Films","Yes"
243,"FL",7366,"3/3/11","Unknown","Other","No"
244,"MA",942,"3/7/11","Unauthorized Access/Disclosure","Desktop Computer","No"
245,"KY",8845,"3/10/11","Theft","Laptop","No"
246,"OK",600,"3/16/11","Theft","Desktop Computer, Other, Other Portable Electronic Device","No"
247,"MD",765,"3/18/11","Unauthorized Access/Disclosure","Paper/Films","Yes"
248,"TX",654,"3/23/11","Unknown","Electronic Medical Record","No"
249,"AL",20744,"3/28/11","Theft","Desktop Computer, Network Server, Other, Other Portable Electronic Device","No"
250,"NY",670,"3/28/11","Theft","Desktop Computer","No"
251,"CA",514330,"3/30/11","Theft","Desktop Computer","No"
252,"WV",1470,"3/30/11","Unauthorized Access/Disclosure","Paper/Films","No"
253,"CA",667,"3/30/11","Theft","Laptop","No"
254,"AK",1700,"3/31/11","Theft","Laptop","Yes"
255,"AZ",635,"3/31/11","Theft","Other, Other Portable Electronic Device","No"
256,"AZ",10000,"4/4/11","Theft","Other, Other Portable Electronic Device","No"
257,"CT",93500,"4/5/11","Theft","Other","Yes"
258,"OK",84000,"4/6/11","Theft","Network Server","No"
259,"MO",935,"4/8/11","Unauthorized Access/Disclosure","Other","No"
260,"OK",132940,"4/11/11","Theft","Laptop, Paper/Films","No"
261,"SC",2717,"4/12/11","Improper Disposal","Paper/Films","No"
262,"MN",1215,"4/14/11","Loss","Paper/Films","No"
263,"NY",1900000,"4/14/11","Unknown","Other","Yes"
264,"AZ",566,"4/14/11","Theft","Paper/Films","No"
265,"IL",675,"4/19/11","Unauthorized Access/Disclosure","Other","Yes"
266,"WY",15000,"4/20/11","Theft","Desktop Computer","No"
267,"NC",6000,"4/21/11","Hacking/IT Incident","Network Server","No"
268,"IL",1070,"4/25/11","Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server","No"
269,"IL",845,"4/25/11","Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server","No"
270,"IL",686,"4/25/11","Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server","No"
271,"AZ",9393,"4/25/11","Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server","No"
272,"IL",532,"4/25/11","Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server","No"
273,"OH",500,"4/28/11","Improper Disposal","Other","No"
274,"NH",5960,"5/2/11","Theft","Laptop","No"
275,"TX",1500,"5/5/11","Theft","Laptop","No"
276,"MA",563,"5/6/11","Theft","Laptop","No"
277,"PR",24361,"5/9/11","Theft","Desktop Computer","No"
278,"MO",850,"5/9/11","Unauthorized Access/Disclosure","Other","No"
279,"PA",1388,"5/9/11","Theft","Paper/Films","No"
281,"FL",8000,"5/11/11","Theft","Other, Paper/Films","No"
282,"AZ",654,"5/11/11","Theft, Unauthorized Access/Disclosure","Paper/Films","No"
283,"CA",620,"5/17/11","Theft","Laptop","No"
284,"NY",550,"5/19/11","Theft","Paper/Films","Yes"
285,"TX",1031,"5/19/11","Improper Disposal","Other","No"
286,"AL",13412,"5/25/11","Unauthorized Access/Disclosure","Paper/Films","Yes"
287,"MI",11387,"5/26/11","Hacking/IT Incident, Unauthorized Access/Disclosure","Network Server","Yes"
288,"PR",6006,"5/26/11","Theft","Paper/Films","No"
289,"SC",4e+05,"5/27/11","Theft","Desktop Computer","No"
290,"KY",1986,"6/2/11","Loss, Theft","Other, Other Portable Electronic Device","No"
291,"WA",2700,"6/8/11","Unknown","Paper/Films","No"
292,"OR",17000,"6/8/11","Theft","Other, Other Portable Electronic Device","Yes"
293,"NC",1263,"6/9/11","Unknown","Email","No"
294,"SC",1280,"6/9/11","Theft","Other, Other Portable Electronic Device","No"
295,"AZ",2000,"6/9/11","Improper Disposal, Loss","Paper/Films","No"
296,"CA",1192,"6/10/11","Loss","Paper/Films","Yes"
297,"CA",15677,"6/16/11","Theft","Desktop Computer","No"
298,"WV",950,"6/16/11","Unauthorized Access/Disclosure","Paper/Films","No"
299,"WA",1105,"6/17/11","Theft","Other, Other Portable Electronic Device","No"
300,"FL",3463,"6/17/11","Unauthorized Access/Disclosure","Other","No"
301,"TN",705,"6/22/11","Theft","Laptop","No"
302,"TN",810,"6/22/11","Theft","Laptop","No"
303,"MO",1288,"6/23/11","Unknown","Paper/Films","No"
304,"OH",78042,"6/27/11","Theft","Laptop","Yes"
305,"LA",2000,"6/28/11","Theft","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device","No"
306,"CA",694,"6/29/11","Unauthorized Access/Disclosure","Paper/Films","No"
307,"CO",3589,"6/29/11","Theft","Other","Yes"
308,"CA",10190,"7/4/11","Theft","Desktop Computer, Network Server","No"
309,"FL",1562,"7/8/11","Unauthorized Access/Disclosure","Electronic Medical Record, Other","No"
310,"NY",712,"7/8/11","Theft","Laptop","No"
311,"MI",5000,"7/11/11","Hacking/IT Incident","Network Server","Yes"
312,"PR",2800,"7/13/11","Theft","Desktop Computer","No"
313,"GA",7500,"7/15/11","Theft","Paper/Films","No"
315,"MA",2021,"7/19/11","Hacking/IT Incident","Network Server","No"
316,"IL",25330,"7/21/11","Unauthorized Access/Disclosure","Network Server","Yes"
317,"TN",1378,"7/22/11","Unauthorized Access/Disclosure","Paper/Films","Yes"
318,"VA",700,"7/22/11","Improper Disposal","Paper/Films","No"
319,"TX",4573,"7/22/11","Unauthorized Access/Disclosure","Paper/Films","Yes"
320,"TX",1870,"7/28/11","Theft","Laptop","No"
321,"IL",501,"7/28/11","Theft","Paper/Films","No"
322,"KY",3604,"7/28/11","Theft","Laptop","No"
323,"OR",1200,"7/29/11","Theft","Desktop Computer","No"
324,"CA",1500,"7/29/11","Unauthorized Access/Disclosure","Paper/Films","No"
325,"MA",638,"8/3/11","Theft","Other Portable Electronic Device","No"
326,"IN",506,"8/8/11","Hacking/IT Incident","Network Server","Yes"
327,"NJ",8795,"8/8/11","Theft","Other, Other Portable Electronic Device","Yes"
328,"WA",3950,"8/9/11","Unauthorized Access/Disclosure","Paper/Films","No"
329,"GA",63425,"8/15/11","Theft","Other, Other Portable Electronic Device","No"
330,"PR",5848,"8/15/11","Theft","Other","Yes"
331,"TX",10345,"8/17/11","Theft","Laptop","Yes"
332,"IL",815,"8/18/11","Unauthorized Access/Disclosure","Laptop","No"
333,"NJ",32008,"8/18/11","Theft","Other, Other Portable Electronic Device","Yes"
334,"KY",1432,"8/25/11","Theft","Laptop, Other Portable Electronic Device, Paper/Films","No"
335,"NJ",3000,"8/28/11","Theft, Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device, Paper/Films","Yes"
336,"IL",2000,"8/29/11","Theft","Desktop Computer, Network Server","No"
337,"CA",19651,"8/29/11","Unauthorized Access/Disclosure","Other","Yes"
338,"CA",1800,"9/7/11","Theft","Paper/Films","No"
339,"IN",2059,"9/8/11","Theft","Other, Other Portable Electronic Device","No"
340,"TX",1696,"9/9/11","Theft","Laptop","No"
341,"WI",3000,"9/13/11","Hacking/IT Incident","Desktop Computer","Yes"
342,"PR",2000,"9/13/11","Theft","Paper/Films","No"
343,"TX",2541,"9/14/11","Theft","Paper/Films","No"
344,"GA",863,"9/15/11","Theft","Laptop","No"
345,"TX",1300,"9/20/11","Hacking/IT Incident, Unauthorized Access/Disclosure","Network Server","No"
346,"MS",1797,"9/20/11","Theft","Paper/Films","No"
347,"WA",2367,"9/21/11","Theft","Desktop Computer, Laptop","No"
348,"VA",4000,"9/22/11","Loss","Other, Other Portable Electronic Device","Yes"
349,"PA",507,"9/23/11","Theft, Unauthorized Access/Disclosure","Laptop, Paper/Films","Yes"
350,"IL",518,"9/23/11","Loss","Paper/Films","No"
351,"TX",1259,"9/23/11","Theft","Laptop","No"
352,"NY",2600,"9/26/11","Theft","Paper/Films","No"
353,"MN",14623,"9/27/11","Theft","Laptop","No"
354,"TN",731,"9/28/11","Theft","Paper/Films","No"
355,"PA",579,"9/28/11","Theft, Unauthorized Access/Disclosure","Paper/Films","Yes"
357,"MI",520,"10/3/11","Theft","Desktop Computer","No"
358,"CT",1631,"10/3/11","Loss","Other, Other Portable Electronic Device","Yes"
359,"IN",3266,"10/4/11","Theft","Laptop","No"
360,"CA",700,"10/7/11","Theft, Unauthorized Access/Disclosure","Paper/Films","Yes"
361,"MA",2200,"10/7/11","Theft","Other, Other Portable Electronic Device","No"
362,"FL",1055489,"10/7/11","Loss","Other","No"
363,"MN",2600,"10/11/11","Theft","Electronic Medical Record, Laptop","No"
364,"CT",3994,"10/11/11","Theft","Other","Yes"
365,"FL",12784,"10/13/11","Unauthorized Access/Disclosure","Electronic Medical Record","No"
366,"PA",3150,"10/14/11","Theft","Other","No"
367,"PA",500,"10/17/11","Theft","Other","No"
368,"MA",14750,"10/20/11","Theft","Desktop Computer","No"
369,"AR",1472,"10/21/11","Loss","Other","No"
370,"MO",7059,"10/22/11","Theft","Other","Yes"
371,"TX",6672,"10/24/11","Loss, Theft","Desktop Computer","Yes"
372,"IN",757,"10/25/11","Theft","Network Server","No"
373,"FL",2200,"10/25/11","Theft","Paper/Films","No"
374,"NY",927,"10/27/11","Theft","Laptop","No"
375,"CT",1089,"10/28/11","Theft","Desktop Computer","Yes"
376,"MI",1100,"10/28/11","Theft","Paper/Films","Yes"
377,"NC",551,"10/28/11","Unknown","Paper/Films","No"
378,"FL",2900,"10/31/11","Theft","Network Server","No"
379,"TX",567,"10/31/11","Theft","Other, Other Portable Electronic Device","No"
380,"PA",55000,"11/2/11","Improper Disposal","Network Server","No"
381,"MD",5000,"11/3/11","Theft","Other, Paper/Films","No"
382,"CA",2761,"11/4/11","Theft","Other, Other Portable Electronic Device","No"
383,"VA",4900000,"11/4/11","Loss","Other","Yes"
384,"WV",12563,"11/8/11","Loss, Theft","Laptop","No"
385,"NM",1537,"11/13/11","Theft","Paper/Films","No"
386,"KS",8275,"11/14/11","Theft","Other","Yes"
387,"AL",943434,"11/17/11","Theft","Desktop Computer","No"
388,"ND",650,"11/17/11","Theft","Laptop","No"
389,"TX",2464,"11/17/11","Unauthorized Access/Disclosure","Electronic Medical Record, Paper/Films","No"
390,"KY",878,"11/23/11","Loss","Other Portable Electronic Device","No"
391,"TN",1770,"11/28/11","Unauthorized Access/Disclosure","Paper/Films","No"
392,"FL",772,"12/1/11","Loss","Other","No"
393,"IN",10705,"12/5/11","Theft","Other","No"
394,"PA",2900,"12/7/11","Other","Paper/Films","No"
395,"NY",7226,"12/9/11","Unauthorized Access/Disclosure","Network Server","Yes"
396,"IL",2000,"12/9/11","Improper Disposal","Paper/Films","Yes"
397,"NE",611,"12/9/11","Theft","Paper/Films","No"
398,"GA",17000,"12/13/11","Theft","Laptop","No"
399,"WA",4693,"12/15/11","Theft","Other","No"
400,"CA",11081,"12/17/11","Other","Paper/Films","No"
401,"TN",2185,"12/21/11","Theft","Laptop, Other Portable Electronic Device","No"
402,"WA",7581,"12/23/11","Theft","Laptop","No"
403,"TX",870,"12/28/11","Theft","Laptop","No"
404,"MA",2988,"12/28/11","Theft","Laptop","No"
405,"FL",1670,"1/6/12","Theft","Desktop Computer, Network Server","No"
406,"NC",50000,"1/10/12","Other, Unauthorized Access/Disclosure","Email, Network Server","Yes"
407,"PA",1300,"1/10/12","Theft","Laptop","No"
408,"MT",2700,"1/11/12","Unauthorized Access/Disclosure","Other","Yes"
409,"CA",1700,"1/13/12","Other","Paper/Films","Yes"
410,"NH",771,"1/16/12","Theft","Paper/Films","No"
411,"KS",7757,"1/19/12","Theft","Laptop","No"
412,"CA",11646,"1/19/12","Other","Paper/Films","No"
413,"OK",844,"1/20/12","Loss","Other","No"
414,"VA",1444,"1/23/12","Other, Unauthorized Access/Disclosure","Paper/Films","Yes"
415,"NY",549,"1/24/12","Theft","Laptop","No"
416,"IN",1423,"1/26/12","Theft, Unauthorized Access/Disclosure","Paper/Films","No"
417,"WA",3100,"1/27/12","Theft","Desktop Computer","No"
418,"CO",3200,"1/27/12","Hacking/IT Incident, Other","Email","No"
419,"FL",1219,"1/30/12","Theft","Other Portable Electronic Device","No"
420,"MN",6678,"2/1/12","Other","Paper/Films","No"
421,"NC",2000,"2/1/12","Theft","Laptop","No"
422,"IL",14000,"2/6/12","Theft","Laptop","Yes"
423,"CA",1366,"2/8/12","Other","Paper/Films","No"
424,"NJ",1700,"2/8/12","Other","Other","Yes"
425,"NJ",1287,"2/13/12","Theft","Paper/Films","No"
426,"WI",698,"2/14/12","Theft","Laptop","No"
427,"IN",660,"2/14/12","Hacking/IT Incident","Other","No"
429,"DC",1549,"2/15/12","Unauthorized Access/Disclosure","Paper/Films","No"
430,"CA",703,"2/15/12","Theft","Other","No"
